sensor_id,timestamp,fill_level_percent,temperature_c,battery_v,fill_threshold,last_emptied,overflow,overflow_count,last_overflow
R718X-001,2025-10-25T09:12:26.716332+00:00,57,16.6,3.6,85,,False,0,
R718X-001,2025-10-25T09:12:28.829683+00:00,57,16.3,3.6,85,,False,0,
R718X-001,2025-10-25T09:12:30.912565+00:00,57,16.4,3.6,85,,False,0,
R718X-001,2025-10-25T09:12:33.002242+00:00,57,16.3,3.6,85,,False,0,
R718X-001,2025-10-25T09:12:35.088263+00:00,58,16.3,3.6,85,,False,0,
R718X-001,2025-10-25T09:12:37.180944+00:00,58,16.3,3.6,85,,False,0,
R718X-001,2025-10-25T09:12:39.270631+00:00,58,16.6,3.6,85,,False,0,
R718X-001,2025-10-25T09:12:41.364651+00:00,58,16.6,3.6,85,,False,0,
R718X-001,2025-10-25T09:12:43.455604+00:00,58,16.4,3.6,85,,False,0,
R718X-001,2025-10-25T09:12:45.549160+00:00,58,16.6,3.6,85,,False,0,
R718X-001,2025-10-25T09:12:47.637707+00:00,58,16.4,3.6,85,,False,0,
R718X-001,2025-10-25T09:12:49.727331+00:00,59,16.6,3.6,85,,False,0,
R718X-001,2025-10-25T09:12:51.818530+00:00,59,16.5,3.6,85,,False,0,
R718X-001,2025-10-25T09:12:53.907010+00:00,59,16.3,3.6,85,,False,0,
R718X-001,2025-10-25T09:12:55.993943+00:00,59,16.4,3.6,85,,False,0,
R718X-001,2025-10-25T09:12:58.085816+00:00,59,16.4,3.6,85,,False,0,
R718X-001,2025-10-25T09:13:00.171220+00:00,59,16.3,3.6,85,,False,0,
R718X-001,2025-10-25T09:13:02.261020+00:00,59,16.4,3.6,85,,False,0,
R718X-001,2025-10-25T09:13:04.349366+00:00,59,16.5,3.6,85,,False,0,
R718X-001,2025-10-25T09:13:06.442935+00:00,60,16.4,3.6,85,,False,0,
R718X-001,2025-10-25T09:13:08.530447+00:00,60,16.5,3.6,85,,False,0,
R718X-001,2025-10-25T09:13:10.637713+00:00,60,16.4,3.6,85,,False,0,
R718X-001,2025-10-25T09:13:12.722606+00:00,60,16.5,3.6,85,,False,0,
R718X-001,2025-10-25T09:13:14.811391+00:00,60,16.5,3.6,85,,False,0,
R718X-001,2025-10-25T09:13:16.900230+00:00,60,16.4,3.6,85,,False,0,
R718X-001,2025-10-25T09:13:18.999145+00:00,60,16.4,3.6,85,,False,0,
R718X-001,2025-10-25T09:13:21.088987+00:00,61,16.5,3.6,85,,False,0,
R718X-001,2025-10-25T09:13:23.183927+00:00,61,16.6,3.6,85,,False,0,
R718X-001,2025-10-25T09:13:25.279892+00:00,61,16.5,3.6,85,,False,0,
R718X-001,2025-10-25T09:13:27.369114+00:00,61,16.3,3.6,85,,False,0,
R718X-001,2025-10-25T09:13:29.460995+00:00,61,16.2,3.6,85,,False,0,
R718X-001,2025-10-25T09:13:31.547143+00:00,61,16.2,3.6,85,,False,0,
R718X-001,2025-10-25T09:13:33.632662+00:00,61,16.3,3.6,85,,False,0,
R718X-001,2025-10-25T09:13:35.729613+00:00,62,16.4,3.6,85,,False,0,
R718X-001,2025-10-25T09:13:37.826939+00:00,62,16.6,3.6,85,,False,0,
R718X-001,2025-10-25T09:13:39.912521+00:00,62,16.4,3.6,85,,False,0,
R718X-001,2025-10-25T09:13:42.002175+00:00,62,16.3,3.6,85,,False,0,
R718X-001,2025-10-25T09:13:44.088079+00:00,62,16.4,3.6,85,,False,0,
R718X-001,2025-10-25T09:13:46.174790+00:00,62,16.3,3.6,85,,False,0,
R718X-001,2025-10-25T09:13:48.262940+00:00,62,16.4,3.6,85,,False,0,
R718X-001,2025-10-25T09:13:50.346962+00:00,62,16.3,3.6,85,,False,0,
R718X-001,2025-10-25T09:13:52.434152+00:00,63,16.3,3.6,85,,False,0,
R718X-001,2025-10-25T09:13:54.521022+00:00,63,16.2,3.6,85,,False,0,
R718X-001,2025-10-25T09:13:56.633207+00:00,63,16.3,3.6,85,,False,0,
R718X-001,2025-10-25T09:13:58.721382+00:00,63,16.3,3.6,85,,False,0,
R718X-001,2025-10-25T09:14:00.808218+00:00,63,16.6,3.6,85,,False,0,
R718X-001,2025-10-25T09:14:02.899856+00:00,63,16.6,3.6,85,,False,0,
R718X-001,2025-10-25T09:14:04.984640+00:00,63,16.2,3.6,85,,False,0,
R718X-001,2025-10-25T09:14:07.073497+00:00,63,16.5,3.6,85,,False,0,
R718X-001,2025-10-25T09:14:09.166043+00:00,64,16.5,3.6,85,,False,0,
R718X-001,2025-10-25T09:14:11.258857+00:00,64,16.3,3.6,85,,False,0,
R718X-001,2025-10-25T09:14:13.345226+00:00,64,16.6,3.6,85,,False,0,
R718X-001,2025-10-25T09:14:15.432507+00:00,64,16.4,3.6,85,,False,0,
R718X-001,2025-10-25T09:14:17.521192+00:00,64,16.5,3.6,85,,False,0,
R718X-001,2025-10-25T09:14:19.608886+00:00,64,16.3,3.6,85,,False,0,
R718X-001,2025-10-25T09:14:21.695505+00:00,64,16.4,3.6,85,,False,0,
R718X-001,2025-10-25T09:14:23.782545+00:00,64,16.4,3.6,85,,False,0,
R718X-001,2025-10-25T09:14:25.870568+00:00,65,16.3,3.6,85,,False,0,
R718X-001,2025-10-25T09:14:27.960294+00:00,65,16.3,3.6,85,,False,0,
R718X-001,2025-10-25T09:14:30.048265+00:00,65,16.3,3.6,85,,False,0,
R718X-001,2025-10-25T09:14:32.136180+00:00,65,16.2,3.6,85,,False,0,
